<RES>My countrymen and women of the radio audience Of the untold values of the radio , one is the great intimacy it has brought among our people.|Through its mysterious channels we come to wider acquaintance with surroundings and men.|The greatest strength of the radio is the intimacy of its listeners.| The great gift of the radio to all members of our community |8.074225324610271|8.455606898405858|3.9843176230698334
<RES>And with each one of those decisions that affect the future of my country , I have learned in the process.|I think I am a much wiser and more experienced man than I was when I debated 4 years ago against President Ford.|The American people have been waiting for this for so long.| Especially now that it is over , and I can hope |4.811437648380843|7.874236665328656|3.1323659133480843
<RES>I think I am a much wiser and more experienced man than I was when I debated 4 years ago against President Ford.|I have also learned that there are no simple answers to complicated questions.|I am a better man now.| That was good enough for me |7.550161951763544|11.502720365810951|10.381045092334277
<RES>I have also learned that there are no simple answers to complicated questions.|Mencken said that for every problem there is a simple answer.|The best way to understand the world is to understand it in a way that makes sense to you.| The only way of finding an answer is to find out in a way that makes sense believe me |37.629239375129444|9.915978951151981|3.6029186089638396
<RES>Mencken said that for every problem there is a simple answer.|It would be neat and plausible and wrong.|"There are many, many, many solutions," he said.| " There are many , many , many problems , " he said |58.529726975268254|187.79610148797858|14.471136733491385
<RES>It would be neat and plausible and wrong.|The fact is that this Nation , in the 8 years before I became President , had its own military strength decreased.|But I don't think we're going to be able to do that.| But I don ' t think I ' m going anywhere near trying to stop it |10.238466451898631|20.333494402692583|3.889820113059709
<RES>The fact is that this Nation , in the 8 years before I became President , had its own military strength decreased.|Seven out of eight years , the budget commitments for defense went down , 37 percent , in all.|We had our own military, and we had a military that was superior to our own.| We have doubled in size , and we have a new military force along with our families |5.626208825172824|11.641610485972706|2.87620188127402
<RES>Seven out of eight years , the budget commitments for defense went down , 37 percent , in all.|Since I have been in office , we have had a steady , carefully planned , methodical but very effective increase in our commitment for defense.|The budget deficit was $2.| 40 percent went up again |4.589313264145895|18.698029789971624|11.15986868313511
<RES>Since I have been in office , we have had a steady , carefully planned , methodical but very effective increase in our commitment for defense.|But what we have done is to use that enormous power and prestige and military strength of the United States to preserve the peace.|We have been able to reduce our deficit by more than half, and we have increased our defense budget by over $1 trillion.| We now have managed to cut our budget by more than half , and have also increased our defense budget by over $ 1 billion |4.087960238115261|7.999179927834864|2.15810762176384
<RES>But what we have done is to use that enormous power and prestige and military strength of the United States to preserve the peace.|We have not only kept peace for our own country , but we have been able to extend the benefits of peace to others.|And that is what we're doing.| I wonder what we really are doing here |5.828531314030478|13.291187492746442|5.071983534550297
<RES>We have not only kept peace for our own country , but we have been able to extend the benefits of peace to others.|In the Middle East , we have worked for a peace treaty between Israel and Egypt , successfully , and have tied ourselves together with Israel and Egypt in a common defense capability.|We have been able to make peace with the enemy, but we have been able to make peace with ourselves.| We were able also to make peace with our neighbours and we have also been able to make peace for ourselves |3.9692507604871197|9.601847228981285|2.7541460173912857
<RES>In the Middle East , we have worked for a peace treaty between Israel and Egypt , successfully , and have tied ourselves together with Israel and Egypt in a common defense capability.|This is a very good step forward for our Nation s security , and we will continue to do as we have done in the past.|, we have worked for a peace treaty between Israel and Egypt, successfully, and have tied ourselves together with Israel and Egypt in a common defense capability.| And we worked successfully for a peace treaty between Israel and Egypt , successfully , and have tied ourselves together with Israel and Egypt in a common defense capability |3.7498669588373317|6.1079126995633155|2.094642808828648
<RES>This is a very good step forward for our Nation s security , and we will continue to do as we have done in the past.|I might also add that there are decisions that are made in the Oval Office by every President which are profound in nature.|We have a responsibility to protect our Nation and to protect our allies.| We have done much to bring our people up to our traditional values |3.527919120496685|4.629950985766522|2.168477268827001
<RES>I might also add that there are decisions that are made in the Oval Office by every President which are profound in nature.|There are always troublespots in the world , and how those troubled areas are addressed by a President , alone in that Oval Office , affects our Nation directly , the involvement of the United States and also our American interests.|The president has a responsibility to the American people to make those decisions.| The President , the head of the federal government , makes these decisions |5.069590983176071|7.550161951763544|3.14703359956935
<RES>There are always troublespots in the world , and how those troubled areas are addressed by a President , alone in that Oval Office , affects our Nation directly , the involvement of the United States and also our American interests.|That is a basic decision that has to be made so frequently by every President who serves.|We are all affected by this.| We do not believe in politics |4.248042717047252|5.661149490039481|5.698846692360687
<RES>That is a basic decision that has to be made so frequently by every President who serves.|That is what I have tried to do , successfully , by keeping our country at peace.|It is also important to remember that the Constitution of the United States is not the same as that of any other country.| It is important also to note that the situation in the United States is not the same as that in any other country |7.286788283973309|5.594491460796428|2.618396438960523
<RES>That is what I have tried to do , successfully , by keeping our country at peace.|Stone , in my State of the Union address earlier this year , I pointed out that any threat to the stability or security of the Persian Gulf would be a threat to the security of our own country.|I have tried to do that with my country and with our allies and with the people of our country.| I have tried to keep peace with my people , my own people and with the people of my people |3.5791228446703833|6.323319837109328|2.8186807307458714
<RES>Stone , in my State of the Union address earlier this year , I pointed out that any threat to the stability or security of the Persian Gulf would be a threat to the security of our own country.|In the past , we have not had an adequate military presence in that region.|And I said, "You know, if the United States is attacked by an Iranian attack, that's a threat to our national security, not to the security of the Persian Gulf.| So I said , " You see , if the United States is attacked by an enemy force , it ' s a threat to to national security , and to the stability of the Persian Gulf |3.9408945759390503|7.115251485558486|1.7759253794589764
<RES>In the past , we have not had an adequate military presence in that region.|Now we have two major carrier task forces.|We have not had an adequate military presence in that region.| We seem to have had no military presence in that region |20.84766964033252|15.564062948524022|5.304234954090593
<RES>Now we have two major carrier task forces.|We have access to facilities in five different areas of that region.|The first is the Air Force's Joint Task Force, which is responsible for air and maritime operations.| The first is the Air Force ' s Tactical Air Command , which also conducts tactical air air ##lift operations |33.67925074200081|35.03740738291145|14.40242771697681
<RES>We have access to facilities in five different areas of that region.|And we have made it clear that working with our allies and others , that we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world.|We have access to the entire region of the world and we have access to all of the countries in the world.| We have access to the entire rest of the country and we have access to all the the facilities in that region |5.493731299098292|9.676961646153545|3.7418600222068177
<RES>And we have made it clear that working with our allies and others , that we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world.|But in doing this , we have made sure that we address this question peacefully , not injecting American military forces into combat , but letting the strength of our Nation be felt in a beneficial way.|"We will work closely with our partners in other areas, including the European Union, and we will continue to do so, as we have done in the past, as we have done in the past.| |2.743842308685018|5.8562185463214576|2.8230815638861615
<RES>But in doing this , we have made sure that we address this question peacefully , not injecting American military forces into combat , but letting the strength of our Nation be felt in a beneficial way.|This , I believe , has assured that our interests will be protected in the Persian Gulf region , as we have done in the Middle East and throughout the world.|This is a very important moment for the United States.| This is a major political issue for all our people |3.601867772391779|5.97413161149609|5.14402261554234
<RES>This , I believe , has assured that our interests will be protected in the Persian Gulf region , as we have done in the Middle East and throughout the world.|Well , there are various elements of defense.|We will continue to work with the Iranian government to ensure that our interests are protected and that our allies will be able to protect their interests in the region and beyond.| We will continue to work with the Iranian government to ensure that our interests are protected and that other countries will be able to continue their work in Iran , and elsewhere |4.608313490083454|2.749677274519561|1.6376759707223811
<RES>Well , there are various elements of defense.|One is to control nuclear weapons , which I hope we will get to later on , because that is the most important single issue in this campaign.|The first is that there are many different types of weapons that can be used to attack the enemy.| The first is that there are two different types of weapons that are being used to defeat the enemy |7.761169738734211|13.837456840435706|4.68372553285188
<RES>One is to control nuclear weapons , which I hope we will get to later on , because that is the most important single issue in this campaign.|Another one is how to address troubled areas of the world.|We need a strong military to fight terrorism and terrorism is a threat to us all.| We all have a problem to solve , and that is a priority for our country |5.741351362040654|4.8071635979322|2.4055425972756814
<RES>Another one is how to address troubled areas of the world.|I think , habitually , Governor Reagan has advocated the injection of military forces into troubled areas , when I and my predecessors both Democrats and Republicans have advocated resolving those troubles and those difficult areas of the world peacefully , diplomatically , and through negotiation.|The world is not always as bad as it seems.| The answer is not just life itself , a question |4.031012948582756|29.754761173449417|7.897059000626208
<RES>I think , habitually , Governor Reagan has advocated the injection of military forces into troubled areas , when I and my predecessors both Democrats and Republicans have advocated resolving those troubles and those difficult areas of the world peacefully , diplomatically , and through negotiation.|In addition to that , the buildup of military forces is good for our country , because we have got to have military strength in order to preserve the peace.|I have been a member of the Reagan Administration and the Reagan Administration has been a member of the Reagan Administration and the Reagan Administration has been a member of the Reagan Administration and I have been a member of the Reagan Administration and I have been a member of the Reagan Administration and I have been a member of the Reagan Administration and I have been a member of the Reagan Administration and.| I have been a member of the Reagan Administration and the Reagan Administration has been a member of the Reagan Administration and the Reagan Administration has been a member of the Reagan Administration and I have been a member of the Reagan Administration and I have been a member of the Reagan Administration and I have been a member of the Reagan Administration and I have been a member of the Reagan Administration since |2.69664141071634|1.931685899370553|1.8430676053495976
<RES>In addition to that , the buildup of military forces is good for our country , because we have got to have military strength in order to preserve the peace.|But I will always remember that the best weapons are the ones that are never fired in combat , and the best soldier is one who never has to lay his life down on the field of battle.|But, I'm not going to say that we're not going to be able to have peace, because the United States is going to have to do a lot of things to keep the peace.| However , I ' m not going to say that we ' re not going to be able to keep peace , because the American government is going to have to do a lot of things to keep the peace |3.1752971860138546|5.2022507212526525|2.6534209915472737
<RES>But I will always remember that the best weapons are the ones that are never fired in combat , and the best soldier is one who never has to lay his life down on the field of battle.|Strength is imperative for peace , but the two must go hand in hand.|The best soldiers are those who never die.| The best weapons are those that never fired |5.122166356214546|6.172356155851181|3.171921781996036
<RES>Strength is imperative for peace , but the two must go hand in hand.|Again it is important to put the situation into perspective.|If you want to be the best at your job, you need to be able to do it.| If you wanted to be the best in the world , you would never have tried to for you |9.82885246532623|11.55272510045468|11.363994302364851
<RES>Again it is important to put the situation into perspective.|In 1974 we had a so called oil shock , wherein the price of OPEC oil was raised to an extraordinary degree.|The first thing to remember is that the "new normal" is the one where we are not in a position to make any changes, but we are still in the process of making changes.| The first thing I notice is |8.714107100388434|14.711526411509498|2.3081542809942626
<RES>In 1974 we had a so called oil shock , wherein the price of OPEC oil was raised to an extraordinary degree.|We had an even worse oil shock in 1979.|The price of oil in the U.| However , perhaps the price was higher |10.317884570569214|11.829002463307186|21.463381870640955
<RES>We had an even worse oil shock in 1979.|In 1974 we had the worst recession , the deepest and most penetrating recession since the Second World War.|We had a lot of oil in the Gulf.| We lost a lot of money in the recession |15.50163247276469|49.683483314895916|10.929485550232553
<RES>In 1974 we had the worst recession , the deepest and most penetrating recession since the Second World War.|The recession that resulted this time was the briefest we have had since the Second World War.|The economy was growing at a rate of 2% per year, which was a lot of growth.| The economy was growing at a rate of 10 % in 1974 and there was a severe severe recession |19.33963339771853|19.413586166251914|3.2164279850349313
<RES>The recession that resulted this time was the briefest we have had since the Second World War.|In addition , we have brought down inflation.|"We have seen a sharp decline in the number of people working in the public sector.| " We saw quite a dramatic increase in the number of people unemployed in the recent years |39.86287928423207|31.466555660196367|7.445480630968462
<RES>In addition , we have brought down inflation.|Earlier this year , the first quarter , we did have a very severe inflation pressure , brought about by the OPEC price increase.|We also have increased the minimum wage to $15 per hour, which will bring in more than $2 billion a year.| We have increased on the minimum wage by 10 % per year , which is upwards of more than another 10 % per year |11.675040247647694|56.00525139633975|3.945667724465038
<RES>Earlier this year , the first quarter , we did have a very severe inflation pressure , brought about by the OPEC price increase.|It averaged about 18 percent the first quarter of this year.|We were expecting a very strong inflationary shock in Q2.| There has been an a ##grarian crisis in China for many years |8.879499082616428|10.642757439166333|16.937534684884085
<RES>It averaged about 18 percent the first quarter of this year.|The second quarter , we had dropped it down to about 13 percent.|The average for the first quarter of this year was 17.| Population growth in the second quarter of the year was slow |15.271631715684812|18.492391035704507|4.366746466456816
<RES>The second quarter , we had dropped it down to about 13 percent.|The most recent figures , the last 3 months , or the third quarter of this year , the inflation rate is 7 percent still too high , but it illustrates very vividly that in addition to providing an enormous number of jobs 9 million new jobs in the last 3 1 2 years that the inflationary threat is still urgent on us.|We're not going to say it's going to be a good year for us, but it's going to be a good year.| We ' re not going to think this trip is going to be a bad thing for you , but it ' s going to be a good thing |2.694562496553864|11.680280057646812|2.679041521383811
<RES>The most recent figures , the last 3 months , or the third quarter of this year , the inflation rate is 7 percent still too high , but it illustrates very vividly that in addition to providing an enormous number of jobs 9 million new jobs in the last 3 1 2 years that the inflationary threat is still urgent on us.|I noticed that Governor Reagan recently mentioned the Reagan Kemp Roth proposal , which his own running mate , George Bush , described as voodoo economics , and said that it would result in a 30 percent inflation rate.|The unemployment rate is now at 6.| The unemployment rate is high high ##s |2.086083866837478|2.8184357879651647|5.6050500120479505
<RES>I noticed that Governor Reagan recently mentioned the Reagan Kemp Roth proposal , which his own running mate , George Bush , described as voodoo economics , and said that it would result in a 30 percent inflation rate.|And Business Week , which is not a Democratic publication , said that this Reagan Kemp Roth proposal and I quote them , I think was completely irresponsible and would result in inflationary pressures which would destroy this Nation.|I think he is right.| I did not like that |2.6200945474089976|5.095821192156799|2.4817078961756707
<RES>And Business Week , which is not a Democratic publication , said that this Reagan Kemp Roth proposal and I quote them , I think was completely irresponsible and would result in inflationary pressures which would destroy this Nation.|So , our proposals are very sound and very carefully considered to stimulate jobs , to improve the industrial complex of this country , to create tools for American workers , and at the same time would be anti inflationary in nature.|And I'm not going to repeat them.| But I really am not going to believe that |2.4090603079560866|4.20057605593009|6.185582370465879
<RES>So , our proposals are very sound and very carefully considered to stimulate jobs , to improve the industrial complex of this country , to create tools for American workers , and at the same time would be anti inflationary in nature.|So , to add 9 million new jobs , to control inflation , and to plan for the future with the energy policy now intact as a foundation is our plan for the years ahead.|We believe that the best solution to this problem would be to create a new economic system based on a free market, with free trade, and free markets.| I think the next best solution to this problem would be to create a new economic system based on the free market , a market economy , and free trade |2.5381790383886416|4.02458324857956|1.704061223575449
<RES>So , to add 9 million new jobs , to control inflation , and to plan for the future with the energy policy now intact as a foundation is our plan for the years ahead.|Yes.|But the most important thing is that the American people will not accept a plan that does not work.| However , not too obvious is that the federal government cannot even pass a budget and cannot cannot act |5.60541885624791|3.69005738263617|2.0469429904094287
<RES>Yes.|Yes.|I'm not sure what to say.| But how , how well did he know ?|19531.477555582733|440.2953430462417|24.36892102277539
<RES>Yes.|We have demanded that the American people sacrifice , and they have done very well.|I've never seen a person that I've seen that would say that.| I have never even kissed a man |35.23665304734368|42.819037425063485|16.50314089749574
<RES>We have demanded that the American people sacrifice , and they have done very well.|As a matter of fact , we are importing today about one third less oil from overseas than we did just a year ago.|We have asked the American people to sacrifice their lives to save our country from a terrorist threat that threatens our country.| We have asked all our people to sacrifice their lives to protect our country from the nuclear disasters that hit our country |7.224257137145065|7.93819587314868|3.3818806145956186
<RES>As a matter of fact , we are importing today about one third less oil from overseas than we did just a year ago.|We have had a 25 percent reduction since the first year I was in office.|The problem is that the US is importing less oil from the Middle East, and less oil from the Gulf of Mexico.| The problem is that the UK is imp ##art ##ing oil from the Middle East and is buying it from the rest of Europe |5.871440461515435|7.631773537921888|7.3038250787474714
<RES>We have had a 25 percent reduction since the first year I was in office.|At the same time , as I said earlier , we have added about 9 million net new jobs in that period of time a record never before achieved.|And I think we're going to be able to do better.| " Well , you ' re going to be able to do it |5.903897416578394|15.00680079558432|4.8804969065548125
<RES>At the same time , as I said earlier , we have added about 9 million net new jobs in that period of time a record never before achieved.|Also , the new energy policy has been predicated on two factors One , conservation , which requires sacrifice , and the other one , increase in production of American energy , which is going along very well more coal this year than ever before in history , more oil and gas wells drilled this year than ever before in history.|This means that we are at the peak of the job creation and the job creation rate is at its highest level in over a decade.| It also means we are at the forefront of our economic development and our unemployment growth rate is at its highest point in over three decades |2.367098517337596|3.958932022176252|2.2043703890824595
<RES>Also , the new energy policy has been predicated on two factors One , conservation , which requires sacrifice , and the other one , increase in production of American energy , which is going along very well more coal this year than ever before in history , more oil and gas wells drilled this year than ever before in history.|The new economic revitalization program that we have in mind , which will be implemented next year , would result in tax credits which would let business invest in new tools and new factories to create even more new jobs about a million in the next 2 years.|The energy policy has been based on the assumption that if we keep burning more coal, the world will be a more prosperous place.| The new policy has been based on the assumption that if we keep wasting our energy , our lives will be a little in danger |2.1434858585946897|3.646498284645051|2.3219729648028458
<RES>The new economic revitalization program that we have in mind , which will be implemented next year , would result in tax credits which would let business invest in new tools and new factories to create even more new jobs about a million in the next 2 years.|And we also have planned a youth employment program which would encompass 600 , 000 jobs for young people.|The government has already announced that the government would invest in new projects in the next two years.| The government has also stated that the government will invest in new industries by next next year year |2.979447457567083|3.021404626353785|1.8137863128204492
<RES>And we also have planned a youth employment program which would encompass 600 , 000 jobs for young people.|This has already passed the House now has an excellent prospect to pass the Senate.|We have also been working to ensure that our children have access to the right education and training to succeed in life.| We have made great efforts to ensure that young people get access to the job opportunities for which they live in India |7.10939280873656|5.303765797792387|9.638600473260313
<RES>This has already passed the House now has an excellent prospect to pass the Senate.|Governor Reagan s proposal , the Reagan Kemp Roth proposal , is one of the most highly inflationary ideas that ever has been presented to the American public.|The bill is a step forward in that direction.| The oldest Jewish families still live in the village |3.9160615271222716|9.643404534867809|3.3967520170372105
<RES>Governor Reagan s proposal , the Reagan Kemp Roth proposal , is one of the most highly inflationary ideas that ever has been presented to the American public.|He would actually have to cut Government spending by at least 130 billion in order to balance the budget under this ridiculous proposal.|The Reagan Roth proposal is one of the most highly inflationary ideas that ever has been presented to the American public.| The Reagan Kemp proposal is one of the most highly influential political proposals that has ever been presented to the American public |4.092793436960225|4.193160526961296|2.223275474273479
<RES>He would actually have to cut Government spending by at least 130 billion in order to balance the budget under this ridiculous proposal.|I noticed that his task force that is working for his future plans had some of their ideas revealed in the Wall Street Journal this week.|"It's a very, very bad idea," he said.| " That ' s probably not a very good idea , " he said |4.729193531889141|26.438373939186768|3.2377892174374248
<RES>I noticed that his task force that is working for his future plans had some of their ideas revealed in the Wall Street Journal this week.|One of those ideas was to repeal the minimum wage , and several times this year , Governor Reagan has said that the major cause of unemployment is the minimum wage.|The Journal reports that Trump's campaign manager, Paul Manafort, has been hired to lead the team.| The article revealed that Trump ' s campaign manager , John Me ##rri ##tt had also been plans to run the campaign |3.781525867595084|10.801627810945911|7.67205528192305
<RES>One of those ideas was to repeal the minimum wage , and several times this year , Governor Reagan has said that the major cause of unemployment is the minimum wage.|This is a heartless kind of approach to the working families of our country which is typical of many Republican leaders in the past , but I think has been accentuated under Governor Reagan.|But the minimum wage has never been a central issue in the campaign.| The minimum wage has not for long been an issue in the state |4.376813126054269|4.804054042238897|2.4055425972756814
<RES>This is a heartless kind of approach to the working families of our country which is typical of many Republican leaders in the past , but I think has been accentuated under Governor Reagan.|In California I am surprised Governor Reagan brought this up he had the three largest tax increases in the history of that State under his administration.|I think it is important to recognize that we have a lot of work to do in the United States of America.| I think it is important to know that there is a lot of work to do in the United States of America |4.603671043884934|5.066382940808423|2.681492822995678
<RES>In California I am surprised Governor Reagan brought this up he had the three largest tax increases in the history of that State under his administration.|He more than doubled State spending while he was Governor 122 percent increase and had between a 20 and 30 percent increase in the number of employees in California.|He said he would have done it.| I knew that it was was right |4.085323697516073|9.16338965420757|3.7944586441446715
<RES>He more than doubled State spending while he was Governor 122 percent increase and had between a 20 and 30 percent increase in the number of employees in California.|Thank you , sir.|The state's total spending was $3.| The player with the same name is currently retired |8.756407674233996|13.553319751249173|3.1442099451137784
<RES>Thank you , sir.|Thank you , Hilliard.|[The man is standing on the ground, holding a knife in one hand and holding the knife in the other.| [ He was ] lying on the ground , holding a knife in one hand and a a ##x in the other |524.3314704821895|106.52419625591396|23.15356427720515
<RES>Thank you , Hilliard.|When I was campaigning in 1976 , everywhere I went the mayors and local officials were in despair about the rapidly deteriorating central cities of our Nation.|I am glad to hear you have accepted my invitation to speak.| I hope so much that we have some time all to ourselves |10.143373361538524|51.16085405679581|10.697646108609794
<RES>When I was campaigning in 1976 , everywhere I went the mayors and local officials were in despair about the rapidly deteriorating central cities of our Nation.|We initiated a very fine urban renewal program , working with the mayors , the Governors , and other interested officials.|I had been told that the cities would be in dire need of a new government.| I also was concerned that the city did not have enough support for a new mayor |4.0855501627618|4.711549151384987|3.8438552703848843
<RES>We initiated a very fine urban renewal program , working with the mayors , the Governors , and other interested officials.|This has been a very successful effort.|We are working on a plan that will help to reduce the number of vacant homes, and to make it easier to find affordable housing in our city, and to make sure that our city is able to attract and retain the best talent.| We are working on a program that also aims to increase the number of apartment buildings , and to make it possible to build more homes in our neighborhoods , and to make sure that the city is able to attract and retain the best residents |13.164545705725665|5.365957388646844|2.6740611625635355
<RES>This has been a very successful effort.|That is one of the main reasons that we have had such an increase in the number of people employed.|We are now able to make a lot more progress on this project.| You are going to also have a very positive impact on our lives |8.888780788867901|16.110644762464126|4.27052617755211
<RES>That is one of the main reasons that we have had such an increase in the number of people employed.|Of the 9 million people put to work in new jobs since I have been in office , 1.|We have also seen a decrease in the number of people working for the state, which is a very important thing.| We also have had a decrease in the number of women employed in our country , which being a very important factor |5.7970124857792|8.80519461563661|2.507178411227917
<RES>Of the 9 million people put to work in new jobs since I have been in office , 1.|3 million of those has been among black Americans and another million among those who speak Spanish.|3 million of them are in low-wage positions, and the rest are in high-wage jobs.| 1 million more people are in low - paying jobs |7.083468379593847|25.451427250039025|9.179704373938904
<RES>3 million of those has been among black Americans and another million among those who speak Spanish.|We now are planning to continue the revitalization program with increased commitments of rapid transit , mass transit.|"We're seeing a real shift," said David B.| " I lived here for a long time , " he said quietly |6.485955573411599|21.71002309861346|3.3796623960666583
<RES>We now are planning to continue the revitalization program with increased commitments of rapid transit , mass transit.|Under the windfall profits tax , we expect to spend about 43 billion in the next 10 years to rebuild the transportation systems of our country.|We will continue to build on our commitment to build on our commitments to invest in the community and to continue to invest in our community.| We will continue to work on the project and continue our ongoing efforts to further develop the project and will continue to engage in other activities |9.30042280600269|5.5715268093796615|2.5024340181121456
<RES>Under the windfall profits tax , we expect to spend about 43 billion in the next 10 years to rebuild the transportation systems of our country.|We also are pursuing housing programs.|But the real problem is that we are not doing this.| Our money , we hope , will eventually come soon enough |14.028996893070879|10.190862443086555|5.00730944111629
<RES>We also are pursuing housing programs.|We have had a 73 percent increase in the allotment of Federal funds for improved education.|The Department of Housing and Urban Development is committed to building a more equitable and affordable housing system.| The Department of Housing and Urban Development is working on a brand new e ##co - friendly friendly housing program |26.422771327659348|23.553525965196904|13.645314024114787
<RES>We have had a 73 percent increase in the allotment of Federal funds for improved education.|These are the kinds of efforts worked on a joint basis with community leaders , particularly in the minority areas of the central cities that had been deteriorating so rapidly in the past.|We have had a 73 percent increase in the allotment of Federal funds for education.| We have a further 73 percent increase in the all ##ot ##ment of Federal funds available now |4.831576355151014|9.706186742264988|3.1881452626314752
<RES>These are the kinds of efforts worked on a joint basis with community leaders , particularly in the minority areas of the central cities that had been deteriorating so rapidly in the past.|It is very important to us that this be done with the full involvement of minority citizens.|In addition to these initiatives, we also work with local governments and other stakeholders to develop strategies to reduce the impact of the climate change impacts of our actions.| In addition to these efforts , they have worked with government agencies and other organizations to develop strategies to reduce the impact of the global financial crisis on economic growth |4.693951016436304|5.355215907959933|1.951764150996351
<RES>It is very important to us that this be done with the full involvement of minority citizens.|I have brought into the top levels of Government into the White House , into administrative offices of the executive branch , into the judicial system highly qualified black and Spanish citizens and women who in the past had been excluded.|It is not just a matter of race, ethnicity or religion, it is also a matter of gender.| It is not just a lack of power or lack of resources , it is also a lack of money |3.410825082568697|13.73798512183032|2.470472010509563
<RES>I have brought into the top levels of Government into the White House , into administrative offices of the executive branch , into the judicial system highly qualified black and Spanish citizens and women who in the past had been excluded.|I noticed that Governor Reagan said that when he was a younger man that there was no knowledge of a racial problem in this country.|We will not tolerate any form of discrimination against any group of persons.| I have brought far more than just women into the American judicial system |3.20539425537779|4.025156131995032|2.1839897854300294
<RES>I noticed that Governor Reagan said that when he was a younger man that there was no knowledge of a racial problem in this country.|Those who suffered from discrimination because of race or sex certainly knew we had a racial problem.|And he's right.| I never said that before |5.823662694871671|11.269912287391803|3.9054690136342898
<RES>Those who suffered from discrimination because of race or sex certainly knew we had a racial problem.|We have gone a long way toward correcting these problems , but we still have a long way to go.|But we also knew we were dealing with a problem that we could not solve.| But then , what we were doing was a problem that we never could solve |6.885835571588146|8.931054077669915|3.605276053888248
<RES>We have gone a long way toward correcting these problems , but we still have a long way to go.|Ours is a nation of refugees , a nation of immigrants.|We are not alone in our quest to solve these problems.| We also are successful in our efforts at solving these problems |10.048487856073537|10.706653225426942|10.123349712063092
<RES>Ours is a nation of refugees , a nation of immigrants.|Almost all of our citizens came here from other lands and now have hopes , which are being realized , for a better life , preserving their ethnic commitments , their family structures , their religious beliefs , preserving their relationships with their relatives in foreign countries , but still forming themselves together in a very coherent society , which gives our Nation its strength.|We are not a nation of immigrants.| Our ##s is a nation of refugees |2.327393227148561|17.09410102469832|63.47406693541216
<RES>Almost all of our citizens came here from other lands and now have hopes , which are being realized , for a better life , preserving their ethnic commitments , their family structures , their religious beliefs , preserving their relationships with their relatives in foreign countries , but still forming themselves together in a very coherent society , which gives our Nation its strength.|In the past , those minority groups have often been excluded from participation in the affairs of government.|"We are not a nation of foreigners, but a nation of Americans.| " We are not a single human being , but a group of people |2.415303255933264|4.9178587171419|1.6274410926452625
<RES>In the past , those minority groups have often been excluded from participation in the affairs of government.|Since I have been President , I have appointed , for instance , more than twice as many black Federal judges as all previous Presidents in the history of this country.|In the past, those minority groups have often been excluded from participation in the affairs of government.| In the past however , minority groups have also been excluded from participation in the affairs of government |4.7849591626883825|14.89896222395382|3.417898336745112
<RES>Since I have been President , I have appointed , for instance , more than twice as many black Federal judges as all previous Presidents in the history of this country.|I have done the same thing in the appointment of women , and also Spanish speaking Americans.|And I have appointed the most powerful and influential federal judge in the history of this country to the Supreme Court.| But I am also the most powerful and influential black court in the history of this country , the Supreme Court |4.418660629194793|3.991414728862302|2.188488476206935
<RES>I have done the same thing in the appointment of women , and also Spanish speaking Americans.|To involve them in administration of government and a feeling that they belong to the societal structure that makes decisions in the judiciary and in executive branch is a very important commitment which I am trying to realize and will continue to do so in the future.|I am very happy that I am not being treated like a second class citizen, but I am not being treated as an American citizen.| I really am sorry that I am being treated here as a " American , " but I am not being treated as an Asian American |3.361163879776425|10.019080064476054|2.634923604356807
<RES>To involve them in administration of government and a feeling that they belong to the societal structure that makes decisions in the judiciary and in executive branch is a very important commitment which I am trying to realize and will continue to do so in the future.|Well , it is obvious that we still have a long way to go in fully incorporating the minority groups into the mainstream of American life.|I have also decided that I am going to be a member of the Council of Ministers of the United Kingdom, which is a very important institution which I will continue to be involved in, and will continue to be involved in, in my role as a member of this Council.| I have recently announced that I am going to become a member of the Council of Ministers of the United Kingdom , which is an an important position which I will continue to be involved with , and will continue to be involved with , in my capacity as the President of the Council |3.1557402284476535|3.507048947312325|1.6716609743504185
<RES>Well , it is obvious that we still have a long way to go in fully incorporating the minority groups into the mainstream of American life.|We have made good progress , and there is no doubt in my mind that the commitment to unemployment compensation , the minimum wage , welfare , national health insurance , those kinds of commitments that have typified the Democratic Party since ancient history in this country s political life are a very important element of the future.|But the most important thing to note is that there is still a long way to go before we can fully integrate our society into the mainstream of American life.| But the most important thing to know is that it is still a long way to go before we can fully incorporate minority groups into the mainstream of American life |2.4490738479665017|3.752888682890361|2.1774008660673854
<RES>We have made good progress , and there is no doubt in my mind that the commitment to unemployment compensation , the minimum wage , welfare , national health insurance , those kinds of commitments that have typified the Democratic Party since ancient history in this country s political life are a very important element of the future.|In all those elements , Governor Reagan has repeatedly spoken out against them , which , to me , shows a very great insensitivity to giving deprived families a better chance in life.|The Democratic Party is a party of the people, a party of people who are willing to work hard and to work hard for the common good.| The Democratic Party is a party of the people , a party of people who are willing to work hard and who work hard for the common good |2.3961154306608585|3.620467253813693|3.9180222408100907
<RES>In all those elements , Governor Reagan has repeatedly spoken out against them , which , to me , shows a very great insensitivity to giving deprived families a better chance in life.|This , to me , is a very important difference between him and me in this election , and I believe the American people will judge accordingly.|I have never seen a Republican president who is not a true believer in the American dream.| I have never met a Republican governor who has defeated a Democratic candidate for the American political Senate |3.605936260091907|4.510442304948625|2.2246193431336865
